# bhbm_obs_combined.csv -- black hole vs bulge mass, individual galaxies
# Scott+2013 (75) + Davis+2019 (41 spirals, 3 bulgeless dropped) + Sahu+2019 (41 E/S0) = 157 galaxies; rebuilt by build_bhbm_obs_combined.py
# log10(Msph/Msun)  log10(MBH/Msun)  err_Msph  err_MBH
 11.5318   9.0049   0.2689   0.0799
 11.7000   9.5900   0.1200   0.0600
 11.7039   9.3615   0.3940   0.1249
 11.7039   8.5318   0.2752   0.2285
 11.7697   9.0775   0.2720   0.1505
 11.8024   9.5546   0.2695   0.0510
 11.8200  10.2300   0.1200   0.0500
 11.8400   8.9000   0.2600   0.2000
 11.8556   9.5318   0.2691   0.1627
 11.9458   8.7344   0.2684   0.1533
 11.9636   9.9503   0.2686   0.1263
 12.0499  10.2858   0.2716   0.4346
 12.3600   9.4400   0.2000   0.1250
