# SMF observations as plotted in SAGE26 Paper I, Figure 12.
# Generated by build_paper_observations.py -- do not hand-edit.
label z log_mass log_phi err_lo err_hi
Thorne+21 1.6000 10.74579 -2.91109 0.03596 0.03321
Thorne+21 1.6000 10.76651 -2.97279 0.03809 0.03502
Thorne+21 1.6000 10.78723 -2.91980 0.03672 0.03386
Thorne+21 1.6000 10.80794 -3.03316 0.04407 0.04001
Thorne+21 1.6000 10.82866 -3.00016 0.04069 0.03720
Thorne+21 1.6000 10.84937 -3.01818 0.04250 0.03871
Thorne+21 1.6000 10.87009 -3.05664 0.04220 0.03846
Thorne+21 1.6000 10.89081 -3.09443 0.04625 0.04179
Thorne+21 1.6000 10.91152 -3.08574 0.04528 0.04100
Thorne+21 1.6000 10.93224 -3.06888 0.04347 0.03951
Thorne+21 1.6000 10.95295 -3.14558 0.04686 0.04229
Thorne+21 1.6000 10.97367 -3.13582 0.04576 0.04139
Thorne+21 1.6000 10.99439 -3.16065 0.04861 0.04371
Thorne+21 1.6000 11.01510 -3.18158 0.05115 0.04576
Thorne+21 1.6000 11.03582 -3.29072 0.05898 0.05192
Thorne+21 1.6000 11.05653 -3.18698 0.05183 0.04630
Thorne+21 1.6000 11.07725 -3.19244 0.05253 0.04686
Thorne+21 1.6000 11.09797 -3.41797 0.07004 0.06030
Thorne+21 1.6000 11.11868 -3.36579 0.06152 0.05388
Thorne+21 1.6000 11.13940 -3.43685 0.07343 0.06279
Thorne+21 1.6000 11.16011 -3.42731 0.07169 0.06152
Thorne+21 1.6000 11.18083 -3.38250 0.06412 0.05586
Thorne+21 1.6000 11.20155 -3.52186 0.07684 0.06527
Thorne+21 1.6000 11.22226 -3.45660 0.07717 0.06550
Thorne+21 1.6000 11.24298 -3.53376 0.07918 0.06695
Thorne+21 1.6000 11.26369 -3.52186 0.07684 0.06527
Thorne+21 1.6000 11.28441 -3.64291 0.08543 0.07136
Thorne+21 1.6000 11.30513 -3.67509 0.09275 0.07639
Thorne+21 1.6000 11.32584 -3.62767 0.08219 0.06908
Thorne+21 1.6000 11.34656 -3.62767 0.08219 0.06908
Thorne+21 1.6000 11.36727 -3.72834 0.10646 0.08543
Thorne+21 1.6000 11.38799 -3.94394 0.14613 0.10914
Thorne+21 1.6000 11.40871 -3.94394 0.14613 0.10914
Thorne+21 1.6000 11.42942 -4.13582 0.17609 0.12494
Thorne+21 1.6000 11.45014 -4.18698 0.20412 0.13830
Thorne+21 1.6000 11.47086 -4.31191 0.17609 0.12494
Thorne+21 1.6000 11.49157 -4.01088 0.12494 0.09691
Thorne+21 1.6000 11.51229 -4.31191 0.17609 0.12494
Thorne+21 1.6000 11.53300 -4.61294 0.47712 0.22185
Thorne+21 1.6000 11.55372 -4.78904 0.30103 0.17609
Thorne+21 1.6000 11.57444 -4.61294 0.47712 0.22185
Thorne+21 1.6000 11.59515 -4.31191 0.17609 0.12494
Thorne+21 1.6000 11.61587 -5.09007 1.30103 0.30103
Thorne+21 1.6000 11.63658 -5.09007 1.30103 0.30103
Thorne+21 1.6000 11.65730 -5.09007 1.30103 0.30103
Thorne+21 1.6000 11.67802 -4.78904 0.30103 0.17609
Thorne+21 1.6000 11.69873 -5.09007 1.30103 0.30103
Thorne+21 1.6000 11.71945 -5.09007 1.30103 0.30103
Thorne+21 1.6000 11.74016 -4.48801 0.30103 0.17609
Thorne+21 1.6000 11.76088 -4.48801 0.30103 0.17609
Thorne+21 1.6000 11.80231 -4.61294 0.47712 0.22185
Thorne+21 1.6000 11.82303 -5.09007 1.30103 0.30103
Thorne+21 2.0000 9.95754 -2.83078 0.02516 0.02378
Thorne+21 2.0000 9.97909 -2.77297 0.02327 0.02209
Thorne+21 2.0000 10.00064 -2.78574 0.02399 0.02273
Thorne+21 2.0000 10.02220 -2.79890 0.02474 0.02341
Thorne+21 2.0000 10.04375 -2.79491 0.02451 0.02320
Thorne+21 2.0000 10.06530 -2.82791 0.02499 0.02363
Thorne+21 2.0000 10.08685 -2.79491 0.02451 0.02320
Thorne+21 2.0000 10.10841 -2.83511 0.02542 0.02402
Thorne+21 2.0000 10.12996 -2.79096 0.02428 0.02300
Thorne+21 2.0000 10.15151 -2.86988 0.02761 0.02596
Thorne+21 2.0000 10.17306 -2.82791 0.02499 0.02363
Thorne+21 2.0000 10.19462 -2.83078 0.02516 0.02378
Thorne+21 2.0000 10.21617 -2.90766 0.02837 0.02663
Thorne+21 2.0000 10.23772 -2.92162 0.02933 0.02747
Thorne+21 2.0000 10.25928 -2.90766 0.02837 0.02663
Thorne+21 2.0000 10.28083 -2.90085 0.02792 0.02623
Thorne+21 2.0000 10.30238 -2.88103 0.02663 0.02509
Thorne+21 2.0000 10.32393 -2.91809 0.02908 0.02726
Thorne+21 2.0000 10.34549 -2.90766 0.02837 0.02663
Thorne+21 2.0000 10.36704 -2.94717 0.02916 0.02732
Thorne+21 2.0000 10.38859 -2.93972 0.02865 0.02687
Thorne+21 2.0000 10.41014 -2.96054 0.03010 0.02815
Thorne+21 2.0000 10.43170 -3.01193 0.03168 0.02953
Thorne+21 2.0000 10.45325 -2.99272 0.03026 0.02829
Thorne+21 2.0000 10.47480 -2.99481 0.03041 0.02842
Thorne+21 2.0000 10.49636 -3.01632 0.03202 0.02982
Thorne+21 2.0000 10.51791 -3.02748 0.03288 0.03057
Thorne+21 2.0000 10.53946 -3.07274 0.03393 0.03147
Thorne+21 2.0000 10.56101 -3.10396 0.03656 0.03372
Thorne+21 2.0000 10.58257 -3.05071 0.03218 0.02996
Thorne+21 2.0000 10.60412 -3.06775 0.03352 0.03112
Thorne+21 2.0000 10.62567 -3.04361 0.03418 0.03168
Thorne+21 2.0000 10.64722 -3.14643 0.03725 0.03430
Thorne+21 2.0000 10.66878 -3.03663 0.03361 0.03119
Thorne+21 2.0000 10.69033 -3.18045 0.04043 0.03698
Thorne+21 2.0000 10.71188 -3.11766 0.03476 0.03218
Thorne+21 2.0000 10.73344 -3.14942 0.03752 0.03453
Thorne+21 2.0000 10.75499 -3.18368 0.04074 0.03725
Thorne+21 2.0000 10.77654 -3.17725 0.04012 0.03672
Thorne+21 2.0000 10.79809 -3.17725 0.04012 0.03672
Thorne+21 2.0000 10.81965 -3.22442 0.04104 0.03749
Thorne+21 2.0000 10.84120 -3.26157 0.04490 0.04069
Thorne+21 2.0000 10.86275 -3.25771 0.04448 0.04034
Thorne+21 2.0000 10.88431 -3.32401 0.04725 0.04261
Thorne+21 2.0000 10.90586 -3.28140 0.04261 0.03880
Thorne+21 2.0000 10.92741 -3.33766 0.04885 0.04391
Thorne+21 2.0000 10.94896 -3.25388 0.04407 0.04001
Thorne+21 2.0000 10.97052 -3.36139 0.04630 0.04184
Thorne+21 2.0000 10.99207 -3.43572 0.05552 0.04922
Thorne+21 2.0000 11.01362 -3.39171 0.04985 0.04471
